sz.év.;Kategória;nem;1.nap összidõ;2.nap összidõ;3.nap összidõ;4.nap összidõ;eredmény;Megtett táv (km);befejezte;eredmény(perc);átlagos tempó (perc/km);sebesség kategória
1970.0;N2;N;0 days 05:17:26;0 days 06:12:02;0 days 04:55:06;0 days 06:08:23;0 days 22:32:57;196.0;True;1352.0;6.8979591836734695;közepesen lassú
1967.0;F4;F;0 days 05:36:35;0 days 06:11:40;0 days 04:53:06;0 days 05:51:54;0 days 22:33:15;196.0;True;1353.0;6.903061224489796;közepesen lassú
1988.0;N1;N;0 days 05:15:45;0 days 06:02:49;0 days 05:01:55;0 days 06:13:52;0 days 22:34:21;196.0;True;1354.0;6.908163265306122;közepesen lassú
1986.0;N1;N;0 days 05:24:12;0 days 06:00:58;0 days 04:54:28;0 days 06:17:07;0 days 22:36:45;196.0;True;1356.0;6.918367346938775;közepesen lassú
1980.0;F2;F;0 days 05:24:47;0 days 06:20:51;0 days 04:52:11;0 days 06:01:35;0 days 22:39:24;196.0;True;1359.0;6.933673469387755;közepesen lassú
1994.0;F1;F;0 days 04:50:10;0 days 06:09:46;0 days 04:55:49;0 days 06:46:22;0 days 22:42:07;196.0;True;1362.0;6.948979591836735;közepesen lassú
1982.0;N2;N;0 days 05:27:41;0 days 06:22:00;0 days 05:01:32;0 days 05:54:01;0 days 22:45:14;196.0;True;1365.0;6.964285714285714;közepesen lassú
1974.0;F3;F;0 days 05:30:35;0 days 06:12:45;0 days 05:04:21;0 days 05:57:37;0 days 22:45:18;196.0;True;1365.0;6.964285714285714;közepesen lassú
1967.0;F4;F;0 days 05:14:35;0 days 06:46:39;0 days 04:42:02;0 days 06:02:23;0 days 22:45:39;196.0;True;1365.0;6.964285714285714;közepesen lassú
1958.0;F5;F;0 days 05:25:43;0 days 06:16:10;0 days 05:04:18;0 days 06:00:17;0 days 22:46:28;196.0;True;1366.0;6.969387755102041;közepesen lassú
1976.0;F3;F;0 days 05:27:05;0 days 06:16:59;0 days 04:41:41;0 days 06:21:39;0 days 22:47:24;196.0;True;1367.0;6.974489795918367;közepesen lassú
1971.0;N2;N;0 days 05:33:25;0 days 06:05:42;0 days 05:01:34;0 days 06:09:01;0 days 22:49:42;196.0;True;1369.0;6.98469387755102;közepesen lassú
1962.0;F4;F;0 days 05:36:19;0 days 06:18:19;0 days 04:57:53;0 days 05:58:51;0 days 22:51:22;196.0;True;1371.0;6.994897959183674;közepesen lassú
1975.0;F3;F;0 days 05:27:47;0 days 06:33:55;0 days 04:53:12;0 days 05:58:35;0 days 22:53:29;196.0;True;1373.0;7.005102040816326;közepesen lassú
1972.0;F3;F;0 days 04:49:41;0 days 06:29:16;0 days 05:16:08;0 days 06:18:52;0 days 22:53:57;196.0;True;1373.0;7.005102040816326;közepesen lassú
1987.0;N1;N;0 days 05:20:42;0 days 06:13:50;0 days 05:06:15;0 days 06:14:02;0 days 22:54:49;196.0;True;1374.0;7.010204081632653;közepesen lassú
